Fecha/Hora (UTC),Local,Visitante,Pronostico,Jugada,Pts esperados,P(marcador exacto) %,P(Local) %,P(Empate) %,P(Visit) %
2026-06-22T17:00:00Z,Argentina,Austria,2-1,Segura,2.51,10,59,24,17
2026-06-22T21:00:00Z,France,Iraq,3-0,Segura,3.33,12,86,10,4
2026-06-23T00:00:00Z,Norway,Senegal,0-1,Batacazo,1.39,7,44,28,29
2026-06-23T03:00:00Z,Jordan,Algeria,0-2,Segura,2.60,10,14,22,64
2026-06-23T17:00:00Z,Portugal,Uzbekistan,2-0,Segura,3.07,11,77,15,8
2026-06-23T20:00:00Z,England,Ghana,2-0,Segura,2.95,11,73,17,10
2026-06-23T23:00:00Z,Panama,Croatia,0-2,Segura,2.57,10,14,24,62
2026-06-24T02:00:00Z,Colombia,DR Congo,2-0,Segura,2.72,10,66,22,12
2026-06-24T19:00:00Z,Bosnia & Herzegovina,Qatar,2-1,Segura,2.51,10,58,26,16
2026-06-24T19:00:00Z,Switzerland,Canada,1-0,Segura,2.05,10,45,28,28
2026-06-24T22:00:00Z,Scotland,Brazil,0-2,Segura,2.62,10,15,20,65
2026-06-24T22:00:00Z,Morocco,Haiti,2-0,Segura,2.88,10,72,18,10
2026-06-25T01:00:00Z,Czech Republic,Mexico,1-2,Segura,2.33,10,20,27,53
2026-06-25T01:00:00Z,South Africa,South Korea,0-2,Segura,2.53,10,16,23,61
2026-06-25T20:00:00Z,Curaçao,Ivory Coast,0-2,Segura,3.08,11,8,14,78
2026-06-25T20:00:00Z,Ecuador,Germany,1-2,Segura,2.33,10,21,25,53
2026-06-25T23:00:00Z,Japan,Sweden,1-0,Segura,2.09,9,45,28,27
2026-06-25T23:00:00Z,Tunisia,Netherlands,0-2,Segura,2.57,10,15,22,63
2026-06-26T02:00:00Z,Paraguay,Australia,2-1,Segura,2.13,9,46,29,25
2026-06-26T02:00:00Z,Turkey,USA,1-0,Batacazo,1.85,11,35,26,39
2026-06-26T19:00:00Z,Norway,France,1-2,Segura,2.30,10,22,26,51
2026-06-26T19:00:00Z,Senegal,Iraq,2-0,Segura,2.75,10,68,20,12
2026-06-27T00:00:00Z,Cape Verde,Saudi Arabia,0-1,Batacazo,1.85,11,39,24,37
2026-06-27T00:00:00Z,Uruguay,Spain,1-2,Segura,2.51,10,18,24,58
2026-06-27T03:00:00Z,New Zealand,Belgium,0-2,Segura,2.95,11,10,17,73
2026-06-27T03:00:00Z,Egypt,Iran,1-0,Segura,2.05,10,42,31,26
2026-06-27T21:00:00Z,Croatia,Ghana,2-1,Segura,2.51,10,58,25,17
2026-06-27T21:00:00Z,Panama,England,0-2,Segura,2.91,10,12,14,73
2026-06-27T23:30:00Z,Colombia,Portugal,0-1,Segura,2.09,9,27,28,45
2026-06-27T23:30:00Z,DR Congo,Uzbekistan,0-1,Batacazo,1.48,8,41,28,31
2026-06-28T02:00:00Z,Algeria,Austria,0-1,Segura,2.09,9,25,31,44
2026-06-28T02:00:00Z,Jordan,Argentina,0-2,Segura,3.16,11,7,13,80
